"id","question_id","category_id","question","explanation","correct_answer","incorrect_1","incorrect_2"
182,19,19,"Which of these is a well known miracle in Christianity?","Jesus turning water in to wine","Jesus turning water in to wine","The moon landing","The invention of television"
183,19,19,"Literal Christians believe that science is wrong and the creation story is genesis is literally true. Sometimes these people are called what?","Creationists","Creationists","Creationhippys","Creationmen"
184,19,19,"The capacity for seeing things from another?s perspective is called"," Empathy"," Empathy","Coincidence","Rejection"
185,19,19,"Who said 'There are too many faults in the universe to say they are a result of a perfect God's design'","Richard Dawkins","Richard Dawkins","David Hume","Charles Darwin"
186,19,19,"Who said: 'evolution' and 'natural selection' were the reason and not the design? ","Charles Darwin","Charles Darwin","Richard Dawkins","David Hume"
187,19,19,"Who said: 'Alternative explanations for the universe, exist, such as coincidence'?","David Hume","David Hume","Richard Dawkins","Charles Darwin"
188,19,19,"What does the Bible say God created the world from?","ex nihilo (from nothing).","ex nihilo (from nothing).","ex dusto (from dust)","ex cheeseo (from cheese)"
189,19,19,"Bishop Ussher calculated that the world was created when?","4004BCE","4004BCE","404BCE","4BCE"
190,20,20,"Which of these did St Augustine say?","God probably created very simple life forms in the beginning and these developed over time.","God probably created very simple life forms in the beginning and these developed over time.","God probably created all the life forms we see together at once","God did not create life forms"
191,20,20,"Who wrote 'On the Origin of Species'?","Charles Darwin","Charles Darwin","Richard Dawkins","Charles Dickens"
192,20,20,"Many scientists believe that the universe came into existence with what?","A big bang","A big bang","A small bang","A smelly bang"
193,20,20,"Philip Gosse said?","God put fossils on the earth to fool people who were not Christians"," God put fossils on the earth to fool people who were not Christians","Fossils are proof of the big bang","Fossils prove that the earth is old"
194,20,20,"In Hinduism who is the preserver and responsible for keeping all good things on earth.","Vishnu","Vishnu","Shiva","Aum"
195,20,20,"Which does the Rig Veda say?","The universe was created out of the parts of the body of a single cosmic man Purusha when his body was sacrificed","universe was created out of the parts of the body of a single cosmic man Purusha when his body was sacrificed","universe was created out of the parts of a canon ball that exploded","universe was created out of the parts of an elephant"
196,20,20,"Where does this quote come from 'I have created men, high and low, that they may worship Me. I desire no support from them, nor do I desire that they should feed Me'","The Qur'an","The Qur'an","The Bible","On the Origin of the Species"
197,20,20,"In Sikhism how did Waheguru create everything","By a single word","By a single word","By a single sentence","By a single book"
198,20,20,"Who said: 'Even creatures in rocks and stones are well provided for'","Guru Arjan","Guru Arjan","Guru Angad","Guru Engad"
